CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice,Description
10158,2024-10-13,500220,1,200.0,Graphics Tablet
10218,2024-04-24,500221,2,150.0,External SSD 1TB
10041,2023-04-24,500222,2,45.0,Mechanical Keyboard
10096,2024-02-01,500223,1,40.0,Ergonomic Pillow
10121,2023-10-31,500224,1,150.0,External SSD 1TB
10128,2023-07-16,500225,1,55.0,Webcam HD
10239,2023-11-10,500226,1,8.5,Phone Stand
10226,2024-10-28,500227,1,40.0,Ergonomic Pillow
10051,2023-10-26,500228,2,120.0,24inch Monitor
10004,2024-01-31,500229,1,45.0,Mechanical Keyboard
10189,2023-11-23,500230,1,8.99,HDMI Cable
10189,2023-08-07,500231,2,25.5,Bluetooth Speaker
10267,2024-10-04,500232,1,250.0,Office Chair
10031,2024-03-03,500233,3,89.99,Gaming Headset
10099,2024-09-01,500234,1,5.0,Cable Organizer
10193,2023-09-30,500235,2,5.0,Notebook
10203,2024-07-18,500236,4,15.0,Laptop Stand
10279,2024-05-15,500237,1,9.99,Mouse Pad
10186,2023-03-26,500238,4,5.0,Cable Organizer
10042,2024-05-18,500239,2,250.0,Office Chair
10193,2024-02-05,500240,1,150.0,External SSD 1TB
10021,2024-04-10,500241,3,25.5,Bluetooth Speaker
10105,2023-05-24,500242,1,5.0,Cable Organizer
10288,2024-01-03,500243,10,30.0,Desk Lamp
10224,2024-07-02,500244,2,25.5,Bluetooth Speaker
10059,2023-09-10,500245,1,250.0,Office Chair
10140,2023-07-06,500246,2,30.0,Desk Lamp
10158,2023-11-23,500247,1,120.0,24inch Monitor
10211,2024-08-20,500248,1,8.5,Phone Stand
10293,2024-05-30,500249,1,89.99,Gaming Headset
10121,2024-01-09,500250,2,12.5,Wireless Mouse
10192,2023-09-03,500251,4,30.0,Desk Lamp
10112,2024-06-24,500252,4,8.5,Phone Stand
10144,2023-10-15,500253,1,3.5,USB-C Cable
10078,2024-03-17,500254,3,45.0,Mechanical Keyboard
10280,2024-10-28,500255,1,5.0,Notebook
10150,2023-10-24,500256,2,89.99,Gaming Headset
10178,2023-01-25,500257,5,3.5,USB-C Cable
10266,2023-04-05,500258,4,9.99,Mouse Pad
10245,2023-12-20,500259,3,55.0,Webcam HD
10199,2023-08-02,500260,2,8.5,Phone Stand
10076,2023-10-17,500261,1,150.0,External SSD 1TB
10031,2024-01-01,500262,1,40.0,Ergonomic Pillow
10233,2024-06-04,500263,2,8.99,HDMI Cable
10090,2024-03-06,500264,1,250.0,Office Chair
10004,2024-11-24,500265,4,45.0,Mechanical Keyboard
10179,2024-01-21,500266,1,200.0,Graphics Tablet
10091,2023-10-06,500267,2,15.0,Laptop Stand
10218,2024-10-23,500268,2,12.5,Wireless Mouse
10069,2024-05-22,500269,1,12.0,Screen Cleaning Kit
10133,2024-02-06,500270,1,12.5,Wireless Mouse
10286,2023-06-22,500271,2,15.0,Laptop Stand
10145,2024-12-02,500272,1,2.0,Sticky Notes
10018,2023-02-07,500273,1,120.0,24inch Monitor
10245,2023-06-22,500274,3,89.99,Gaming Headset
10197,2023-01-03,500275,3,89.99,Gaming Headset
10262,2024-08-13,500276,4,55.0,Webcam HD
10082,2023-02-17,500277,1,5.0,Cable Organizer
10248,2024-02-11,500278,1,12.0,Screen Cleaning Kit
10242,2023-11-11,500279,2,8.5,Phone Stand
10035,2023-03-19,500280,1,40.0,Ergonomic Pillow
10231,2023-05-27,500281,2,250.0,Office Chair
10009,2024-09-22,500282,1,15.0,Laptop Stand
10107,2023-11-04,500283,1,30.0,Desk Lamp
10047,2024-06-20,500284,2,8.99,HDMI Cable
10134,2024-05-22,500285,1,150.0,External SSD 1TB
10185,2024-08-11,500286,1,9.99,Mouse Pad
10196,2024-04-18,500287,2,15.0,Laptop Stand
10220,2023-11-02,500288,3,150.0,External SSD 1TB
10120,2023-10-19,500289,4,25.5,Bluetooth Speaker
10258,2023-05-04,500290,1,8.5,Phone Stand
10007,2023-09-15,500291,2,55.0,Webcam HD
10291,2023-11-20,500292,1,25.5,Bluetooth Speaker
10099,2023-05-20,500293,1,30.0,Desk Lamp
10122,2024-06-14,500294,1,45.0,Mechanical Keyboard
10071,2024-11-13,500295,2,5.0,Cable Organizer
10039,2023-01-21,500296,1,12.0,Screen Cleaning Kit
10205,2024-09-22,500297,1,250.0,Office Chair
10292,2024-11-11,500298,4,45.0,Mechanical Keyboard
10089,2024-10-23,500299,2,200.0,Graphics Tablet
10208,2023-12-23,500300,4,45.0,Mechanical Keyboard
10264,2023-01-24,500301,1,40.0,Ergonomic Pillow
10243,2023-04-08,500302,1,89.99,Gaming Headset
10132,2023-01-07,500303,3,5.0,Cable Organizer
10117,2023-11-07,500304,2,30.0,Desk Lamp
10259,2023-02-04,500305,1,5.0,Notebook
10174,2024-11-15,500306,1,120.0,24inch Monitor
10032,2024-10-13,500307,5,8.5,Phone Stand
10101,2023-04-06,500308,1,45.0,Mechanical Keyboard
10096,2023-01-10,500309,2,30.0,Desk Lamp
10226,2024-06-10,500310,3,45.0,Mechanical Keyboard
10107,2024-08-05,500311,3,3.5,USB-C Cable
10265,2023-08-25,500312,3,200.0,Graphics Tablet
10266,2023-07-25,500313,20,45.0,Mechanical Keyboard
10151,2024-07-22,500314,3,15.0,Laptop Stand
10001,2024-06-26,500315,2,2.0,Sticky Notes
10215,2023-10-10,500316,2,200.0,Graphics Tablet
10110,2024-09-02,500317,3,40.0,Ergonomic Pillow
10191,2023-01-18,500318,2,120.0,24inch Monitor
10279,2024-10-23,500319,2,55.0,Webcam HD
10089,2023-07-05,500320,4,25.5,Bluetooth Speaker
10079,2023-03-31,500321,4,89.99,Gaming Headset
10032,2023-10-10,500322,1,8.99,HDMI Cable
10208,2023-01-13,500323,2,120.0,24inch Monitor
10009,2023-12-09,500324,1,15.0,Laptop Stand
10042,2023-10-10,500325,1,30.0,Desk Lamp
10115,2024-03-24,500326,4,200.0,Graphics Tablet
10282,2024-03-27,500327,1,45.0,Mechanical Keyboard
10246,2023-08-20,500328,3,120.0,24inch Monitor
10297,2023-02-17,500329,1,8.99,HDMI Cable
10028,2024-01-06,500330,1,9.99,Mouse Pad
10279,2023-06-01,500331,3,12.5,Wireless Mouse
10159,2023-07-14,500332,2,250.0,Office Chair
10298,2024-09-11,500333,1,12.0,Screen Cleaning Kit
10162,2023-11-30,500334,1,12.5,Wireless Mouse
10272,2024-07-31,500335,2,12.5,Wireless Mouse
10027,2023-07-21,500336,2,5.0,Notebook
10124,2023-05-09,500337,3,9.99,Mouse Pad
10230,2024-09-14,500338,4,5.0,Cable Organizer
10201,2024-09-02,500339,3,3.5,USB-C Cable
10128,2023-02-26,500340,2,200.0,Graphics Tablet
10243,2024-01-04,500341,1,45.0,Mechanical Keyboard
10186,2023-08-24,500342,1,40.0,Ergonomic Pillow
10175,2024-01-19,500343,2,5.0,Notebook
10176,2023-02-05,500344,2,8.99,HDMI Cable
10250,2023-12-11,500345,1,2.0,Sticky Notes
10140,2023-07-14,500346,20,8.99,HDMI Cable
10055,2024-07-18,500347,1,5.0,Cable Organizer
10098,2024-05-08,500348,2,120.0,24inch Monitor
10250,2024-06-25,500349,2,8.5,Phone Stand
10236,2023-05-20,500350,5,150.0,External SSD 1TB
10157,2024-03-23,500351,1,89.99,Gaming Headset
10285,2024-06-06,500352,2,250.0,Office Chair
10170,2023-03-03,500353,2,3.5,USB-C Cable
10161,2024-08-08,500354,1,89.99,Gaming Headset
10075,2024-11-22,500355,1,40.0,Ergonomic Pillow
10056,2023-04-19,500356,2,12.0,Screen Cleaning Kit
10114,2024-07-10,500357,1,200.0,Graphics Tablet
10039,2023-03-19,500358,2,30.0,Desk Lamp
10151,2023-10-09,500359,2,5.0,Cable Organizer
10252,2023-05-13,500360,3,150.0,External SSD 1TB
10066,2023-11-23,500361,1,12.0,Screen Cleaning Kit
10282,2024-07-29,500362,2,40.0,Ergonomic Pillow
10041,2023-05-15,500363,4,150.0,External SSD 1TB
10275,2023-01-03,500364,1,30.0,Desk Lamp
10238,2023-08-11,500365,2,5.0,Notebook
10003,2024-01-12,500366,2,5.0,Notebook
10094,2023-10-29,500367,2,15.0,Laptop Stand
10139,2024-04-24,500368,1,3.5,USB-C Cable
10297,2023-04-21,500369,4,5.0,Notebook
10121,2024-05-06,500370,1,30.0,Desk Lamp
10050,2024-08-28,500371,2,8.99,HDMI Cable
10243,2023-09-01,500372,3,25.5,Bluetooth Speaker
10092,2024-04-01,500373,2,2.0,Sticky Notes
10245,2024-08-13,500374,1,45.0,Mechanical Keyboard
10071,2024-09-27,500375,1,250.0,Office Chair
10273,2024-05-01,500376,10,8.5,Phone Stand
10256,2024-08-25,500377,2,5.0,Notebook
10261,2024-08-09,500378,1,120.0,24inch Monitor
10177,2024-01-25,500379,2,9.99,Mouse Pad
10296,2023-01-10,500380,4,200.0,Graphics Tablet
10122,2023-12-20,500381,1,25.5,Bluetooth Speaker
10205,2023-05-30,500382,2,5.0,Notebook
10070,2023-01-05,500383,4,40.0,Ergonomic Pillow
10102,2024-11-10,500384,5,8.5,Phone Stand
10153,2023-01-16,500385,3,25.5,Bluetooth Speaker
10110,2024-02-29,500386,3,5.0,Notebook
10173,2024-11-13,500387,1,3.5,USB-C Cable
10034,2023-09-09,500388,1,40.0,Ergonomic Pillow
10261,2024-08-29,500389,2,45.0,Mechanical Keyboard
10117,2023-04-14,500390,3,5.0,Notebook
10217,2023-01-17,500391,1,2.0,Sticky Notes
10084,2023-05-20,500392,2,5.0,Notebook
10229,2024-02-22,500393,2,2.0,Sticky Notes
10282,2024-06-23,500394,2,40.0,Ergonomic Pillow
10146,2023-01-16,500395,3,200.0,Graphics Tablet
10014,2024-12-03,500396,4,3.5,USB-C Cable
10213,2024-10-09,500397,1,30.0,Desk Lamp
10139,2023-07-28,500398,2,55.0,Webcam HD
10207,2023-10-12,500399,4,8.99,HDMI Cable
10021,2024-11-13,500400,2,12.5,Wireless Mouse
10051,2024-09-26,500401,4,120.0,24inch Monitor
10227,2024-11-15,500402,4,8.99,HDMI Cable
10027,2024-12-23,500403,1,200.0,Graphics Tablet
10230,2023-12-17,500404,2,25.5,Bluetooth Speaker
10017,2023-05-07,500405,1,120.0,24inch Monitor
10138,2024-09-07,500406,5,3.5,USB-C Cable
10200,2024-10-06,500407,2,5.0,Notebook
10039,2024-11-01,500408,2,250.0,Office Chair
10193,2023-11-07,500409,1,15.0,Laptop Stand
10201,2024-04-08,500410,1,25.5,Bluetooth Speaker
10208,2024-11-14,500411,2,8.99,HDMI Cable
10269,2024-09-13,500412,2,200.0,Graphics Tablet
10173,2024-02-27,500413,4,12.5,Wireless Mouse
10191,2023-05-24,500414,1,12.0,Screen Cleaning Kit
10243,2023-10-13,500415,2,150.0,External SSD 1TB
10229,2024-05-24,500416,1,150.0,External SSD 1TB
10031,2023-05-31,500417,1,150.0,External SSD 1TB
10292,2024-03-14,500418,3,89.99,Gaming Headset
10228,2024-07-20,500419,4,3.5,USB-C Cable
10086,2023-01-26,500420,2,55.0,Webcam HD
10288,2023-01-06,500421,1,3.5,USB-C Cable
10232,2024-11-23,500422,1,5.0,Cable Organizer
10227,2023-10-19,500423,1,89.99,Gaming Headset
10011,2024-09-21,500424,1,45.0,Mechanical Keyboard
10072,2024-10-04,500425,1,55.0,Webcam HD
10204,2023-07-21,500426,5,3.5,USB-C Cable
10061,2024-09-11,500427,1,40.0,Ergonomic Pillow
10053,2024-07-22,500428,5,250.0,Office Chair
10180,2023-06-03,500429,3,150.0,External SSD 1TB
10098,2024-05-20,500430,1,12.0,Screen Cleaning Kit
10188,2023-09-26,500431,2,5.0,Notebook
10081,2023-08-25,500432,1,5.0,Cable Organizer
10204,2024-05-23,500433,4,200.0,Graphics Tablet
10079,2024-05-07,500434,1,250.0,Office Chair
10097,2023-03-25,500435,2,55.0,Webcam HD
10111,2023-06-10,500436,2,250.0,Office Chair
10072,2023-02-13,500437,20,150.0,External SSD 1TB
10199,2023-11-14,500438,2,150.0,External SSD 1TB
10154,2023-03-12,500439,1,25.5,Bluetooth Speaker
10086,2023-01-17,500440,1,25.5,Bluetooth Speaker
10298,2024-08-05,500441,5,12.0,Screen Cleaning Kit
10202,2024-10-11,500442,4,30.0,Desk Lamp
10153,2023-12-03,500443,2,8.99,HDMI Cable
10026,2023-01-15,500444,4,55.0,Webcam HD
10054,2023-12-26,500445,4,12.5,Wireless Mouse
10226,2024-08-18,500446,2,12.5,Wireless Mouse
10151,2024-04-27,500447,1,2.0,Sticky Notes
10218,2023-01-10,500448,3,15.0,Laptop Stand
10049,2023-10-21,500449,1,200.0,Graphics Tablet
10206,2023-08-26,500450,2,120.0,24inch Monitor
10054,2023-07-11,500451,1,8.99,HDMI Cable
10126,2023-01-25,500452,2,89.99,Gaming Headset
10110,2024-03-18,500453,1,250.0,Office Chair
10103,2023-05-13,500454,2,2.0,Sticky Notes
10187,2024-12-21,500455,1,5.0,Notebook
10203,2024-06-07,500456,2,250.0,Office Chair
10040,2024-02-17,500457,2,89.99,Gaming Headset
10126,2023-12-28,500458,3,12.5,Wireless Mouse
10112,2024-04-15,500459,1,9.99,Mouse Pad
10165,2024-10-27,500460,1,55.0,Webcam HD
10098,2023-01-12,500461,2,150.0,External SSD 1TB
10212,2024-07-25,500462,2,5.0,Cable Organizer
10161,2023-03-22,500463,1,3.5,USB-C Cable
10091,2023-05-28,500464,1,25.5,Bluetooth Speaker
10217,2023-04-09,500465,5,2.0,Sticky Notes
10291,2023-03-22,500466,1,55.0,Webcam HD
10221,2023-01-06,500467,3,8.99,HDMI Cable
10127,2024-07-13,500468,10,12.5,Wireless Mouse
10052,2024-04-30,500469,2,8.5,Phone Stand
10137,2023-12-17,500470,3,5.0,Cable Organizer
10269,2023-09-02,500471,1,120.0,24inch Monitor
10059,2024-11-15,500472,2,250.0,Office Chair
10255,2024-07-29,500473,2,25.5,Bluetooth Speaker
10089,2023-02-27,500474,5,5.0,Notebook
10273,2023-04-19,500475,2,8.5,Phone Stand
10007,2023-02-15,500476,1,25.5,Bluetooth Speaker
10241,2023-07-22,500477,2,40.0,Ergonomic Pillow
10191,2024-12-19,500478,4,40.0,Ergonomic Pillow
10226,2024-04-02,500479,1,15.0,Laptop Stand
10150,2023-04-10,500480,4,45.0,Mechanical Keyboard
10186,2023-03-06,500481,3,12.5,Wireless Mouse
10214,2023-07-25,500482,2,200.0,Graphics Tablet
10094,2023-03-13,500483,2,120.0,24inch Monitor
10263,2024-03-30,500484,4,55.0,Webcam HD
10285,2024-12-13,500485,3,30.0,Desk Lamp
10181,2024-03-07,500486,1,2.0,Sticky Notes
10019,2024-06-16,500487,3,40.0,Ergonomic Pillow
10017,2024-10-19,500488,1,8.99,HDMI Cable
10178,2023-04-11,500489,2,89.99,Gaming Headset
10092,2023-07-03,500490,1,55.0,Webcam HD
10117,2024-08-11,500491,1,12.5,Wireless Mouse
10039,2024-04-09,500492,4,2.0,Sticky Notes
10160,2024-03-01,500493,2,2.0,Sticky Notes
10224,2023-04-19,500494,2,15.0,Laptop Stand
10265,2023-06-08,500495,1,8.99,HDMI Cable
10071,2023-09-24,500496,1,12.5,Wireless Mouse
10221,2024-09-09,500497,2,8.5,Phone Stand
10051,2023-04-08,500498,2,55.0,Webcam HD
10184,2024-11-12,500499,1,12.5,Wireless Mouse
10093,2023-10-10,500500,1,40.0,Ergonomic Pillow
10040,2023-01-27,500501,1,120.0,24inch Monitor
10059,2024-10-19,500502,2,89.99,Gaming Headset
10074,2024-03-26,500503,1,3.5,USB-C Cable
10275,2024-10-07,500504,2,89.99,Gaming Headset
10117,2023-01-17,500505,1,12.5,Wireless Mouse
10011,2024-06-30,500506,1,2.0,Sticky Notes
10148,2023-12-08,500507,1,12.5,Wireless Mouse
